STATION,SHIFT,COMB_SCORE,SCHOOLS,BUSINESS,TRAFFIC
GRD CNTRL-42 ST,WE16,6.38867916667,7,9,264820.75
GRD CNTRL-42 ST,TU16,6.3276105848,7,9,261156.635088
GRD CNTRL-42 ST,TH16,6.1982125,7,9,253392.75
23 ST,TH16,6.0461125,8,31,196266.75
23 ST,WE16,6.03959166667,8,31,195875.5
23 ST,TU16,5.9947375,8,31,193184.25
34 ST-PENN STA,TU8,5.67888806307,7,12,217733.283784
34 ST-HERALD SQ,WE16,5.64258333333,7,12,215555.0
34 ST-HERALD SQ,TH16,5.63146666667,7,12,214888.0
34 ST-PENN STA,TH8,5.57564144143,7,12,211538.486486
34 ST-HERALD SQ,TU16,5.56121666667,7,12,210673.0
GRD CNTRL-42 ST,FR16,5.4889,7,9,210834.0
23 ST,FR16,5.44547916667,8,31,160228.75
GRD CNTRL-42 ST,MO16,5.35156011905,7,9,202593.607143
34 ST-PENN STA,WE8,5.34998383268,7,12,197999.029961
23 ST,MO16,5.32390305542,8,31,152934.183325
34 ST-HERALD SQ,FR16,5.21338703703,7,12,189803.222222
34 ST-PENN STA,TH16,5.19054617117,7,12,188432.77027
34 ST-PENN STA,WE16,5.15721531532,7,12,186432.918919
34 ST-PENN STA,FR8,5.08208423423,7,12,181925.054054
34 ST-PENN STA,TU16,5.0709927928,7,12,181259.567568
34 ST-HERALD SQ,MO16,4.98608333333,7,12,176165.0
34 ST-PENN STA,FR16,4.92690743243,7,12,172614.445946
34 ST-PENN STA,MO8,4.91286554053,7,12,171771.932432
23 ST,FR12,4.74622916667,8,31,118273.75
34 ST-PENN STA,MO16,4.73729527027,7,12,161237.716216
23 ST,WE12,4.5900875,8,31,108905.25
23 ST,TH12,4.5811,8,31,108366.0
TIMES SQ-42 ST,WE16,4.56436666667,6,6,174862.0
23 ST,TU12,4.50870833333,8,31,104022.5
GRD CNTRL-42 ST,FR12,4.49497083333,7,9,151198.25
TIMES SQ-42 ST,TH16,4.48116666667,6,6,169870.0
TIMES SQ-42 ST,TU16,4.47846666667,6,6,169708.0
GRD CNTRL-42 ST,WE12,4.33217572057,7,9,141430.543234
34 ST-PENN STA,FR12,4.26706666667,7,12,133024.0
47-50 STS ROCK,WE16,4.20065,6,3,157539.0
23 ST,MO12,4.17581666667,8,31,84049.0
47-50 STS ROCK,TU16,4.16216666667,6,3,155230.0
GRD CNTRL-42 ST,TH12,4.15677291667,7,9,130906.375
23 ST,TH20,4.13575833333,8,31,81645.5
34 ST-PENN STA,WE12,4.12178378378,7,12,124307.027027
47-50 STS ROCK,TH16,4.10983333333,6,3,152090.0
34 ST-PENN STA,TU4,4.10716486487,7,12,123429.891892
23 ST,WE8,4.1014375,8,31,79586.25
23 ST,WE20,4.09809166667,8,31,79385.5
23 ST,TH8,4.0887125,8,31,78822.75
34 ST-PENN STA,TH4,4.04350990992,7,12,119610.594595
23 ST,TU20,4.03359166667,8,31,75515.5
34 ST-PENN STA,TH12,4.03277297297,7,12,118966.378378
23 ST,TU8,3.99973078866,8,31,73483.8473199
34 ST-HERALD SQ,FR12,3.98985185185,7,12,116391.111111
23 ST,SA16,3.98550833333,8,31,72630.5
28 ST,WE16,3.98379246032,9,14,83027.547619
TIMES SQ-42 ST,MO16,3.97665,6,6,139599.0
28 ST,TH16,3.96605555556,9,14,81963.3333333
14 ST-UNION SQ,WE16,3.96477083333,5,7,152386.25
34 ST-PENN STA,TU12,3.9645195946,7,12,114871.175676
TIMES SQ-42 ST,FR16,3.96283333333,6,6,138770.0
28 ST,TU16,3.96165228175,9,14,81699.1369048
23 ST,FR8,3.9590875,8,31,71045.25
34 ST-PENN STA,WE4,3.94743738738,7,12,113846.243243
14 ST-UNION SQ,TH16,3.90689583333,5,7,148913.75
GRD CNTRL-42 ST,TU12,3.90372192812,7,9,115723.315687
GRD CNTRL-42 ST,WE8,3.90061540342,7,9,115536.924205
14 ST-UNION SQ,TU16,3.89864166667,5,7,148418.5
