STATION,SHIFT,COMB_SCORE,SCHOOLS,BUSINESS,TRAFFIC
50 ST,TU4,0.22475,0,0,8990.0
57 ST,SA20,0.9123,3,0,6492.0
BEACH 98 ST,MO12,0.0180875,0,0,723.5
NORWOOD AV,FR8,0.04912328125,0,0,1964.93125
PARKCHESTER,WE16,0.20910625,0,0,8364.25
18 AV,TU0,0.01083125,0,0,433.25
61 ST WOODSIDE,TH4,0.54046875,0,0,21618.75
207 ST,TU12,0.679025,2,0,7161.0
20 AV,FR12,0.11209375,0,0,4483.75
FAR ROCKAWAY,WE8,0.108975,0,0,4359.0
NEVINS ST,SU16,0.8676,3,0,4704.0
14TH STREET,TU4,1.36906196759,5,2,2762.4787037
SPRING ST,SA4,0.446825,1,7,873.0
MORGAN AV,FR20,0.1176875,0,0,4707.5
20 AV,SA16,0.0698625,0,0,2794.5
WHITLOCK AV,TU20,0.01285,0,0,514.0
GRAND-NEWTOWN,TU12,0.298575,0,0,11943.0
30 AV,MO20,0.081,0,0,3240.0
KINGS HWY,TH4,0.684875,0,0,27395.0
GUN HILL RD,MO16,0.18993125,0,0,7597.25
UNION ST,SU16,0.066725,0,0,2669.0
21 ST-QNSBRIDGE,SA12,0.8887,3,0,5548.0
CRESCENT ST,MO20,0.02814375,0,0,1125.75
68ST-HUNTER CO,SU12,1.351075,4,1,13043.0
72 ST,MO4,1.25539375,3,0,20215.75
BAY RIDGE-95 ST,TH4,0.144125,0,0,5765.0
KNICKERBOCKER,FR0,0.0066125,0,0,264.5
59 ST,WE12,1.788275,0,0,71531.0
125 ST,SU4,1.02336875,3,0,10934.75
47-50 STS ROCK,FR16,4.5634,6,3,119536.0
JAMAICA 179 ST,TU8,0.490325,0,0,19613.0
15 ST-PROSPECT,TU4,0.156346875,0,0,6253.875
8 AV,MO20,0.58513125,0,0,23405.25
MORGAN AV,TH8,0.251075,0,0,10043.0
COURT SQ-23 ST,SA12,0.566825,2,0,2673.0
111 ST,SU0,0.02839375,0,0,1135.75
EUCLID AV,SU8,0.122925,0,0,4917.0
UNION ST,TH16,0.1616,0,0,6464.0
ASTORIA BLVD,TU8,0.529375,0,0,21175.0
SHEEPSHEAD BAY,MO12,0.22995625,0,0,9198.25
90 ST-ELMHURST,SA8,0.350525,0,0,14021.0
GRAHAM AV,SU0,0.028475,0,0,1139.0
ATLANTIC AV,TH4,0.038925,0,0,1557.0
BEVERLY RD,TU16,0.0577,0,0,2308.0
66 ST-LINCOLN,SU0,0.84151875,3,0,3660.75
PELHAM BAY PARK,FR20,0.0537,0,0,2148.0
47-50 STS ROCK,TH12,2.7145,6,3,45580.0
BOWLING GREEN,WE0,0.5971625,1,12,1886.5
BLEECKER ST,MO12,0.813575,1,12,10543.0
20 AV,SA8,0.12035,0,0,4814.0
FORDHAM RD,SU20,1.14885,4,0,5954.0
ZEREGA AV,TH8,0.067425,0,0,2697.0
CENTRAL PK N110,FR20,0.080175,0,0,3207.0
STERLING ST,TH0,0.255825,1,0,233.0
BUHRE AV,FR20,0.01408125,0,0,563.25
TIMES SQ-42 ST,SU16,3.25385,6,6,64154.0
QUEENSBORO PLZ,TU12,0.818075,2,0,12723.0
CONEY IS-STILLW,SU8,0.168875,0,0,6755.0
34 ST-HUDSON YD,TU12,2.276175,7,12,9047.0
34 ST-HUDSON YD,MO0,2.06,7,12,400.0
BROAD ST,FR8,0.67125625,1,14,2850.25
65 ST,MO12,0.0740125,0,0,2960.5
FAR ROCKAWAY,FR20,0.03145,0,0,1258.0
FLATBUSH AV-B.C,FR0,0.29388125,1,0,1755.25
FRANKLIN AV,WE4,0.81568125,2,0,12627.25
KNICKERBOCKER,TH8,0.1146,0,0,4584.0
110 ST,TH4,0.214775,0,0,8591.0
NEPTUNE AV,SA4,0.01256875,0,0,502.75
UTICA AV,TU4,0.4515675,0,0,18062.7
40 ST LOWERY ST,FR4,0.4661,1,1,7644.0
MORGAN AV,SU16,0.134075,0,0,5363.0
PARKCHESTER,FR4,0.59410625,0,0,23764.25
125 ST,TU20,1.6240125,3,0,34960.5
79 ST,SU12,0.38741875,0,0,15496.75
BURKE AV,MO20,0.0212375,0,0,849.5
CASTLE HILL AV,SU20,0.0333,0,0,1332.0
PARK PLACE,TU8,0.33859375,1,0,3543.75
MOSHOLU PKWY,MO4,0.431125,1,0,7245.0
47-50 STS ROCK,TU4,1.6367,6,3,2468.0
SOUTH FERRY,WE4,0.31290625,0,2,10516.25
JACKSON AV,TU0,0.0139375,0,0,557.5
FAR ROCKAWAY,TH8,0.0998,0,0,3992.0
CRESCENT ST,WE8,0.1379375,0,0,5517.5
JUNCTION BLVD,TU0,0.025,0,0,1000.0
W 4 ST-WASH SQ,WE20,1.57791875,2,2,41116.75
ROOSEVELT ISLND,WE4,1.330375,5,0,3215.0
80 ST,WE12,0.07463125,0,0,2985.25
182-183 STS,TU16,0.833075,3,0,3323.0
FLATBUSH AV-B.C,MO12,0.5849875,1,0,13399.5
75 AV,FR0,0.0014,0,0,56.0
WHITLOCK AV,TH12,0.03325,0,0,1330.0
CHAMBERS ST,TH12,2.09983132041,1,1,72993.2528164
52 ST,TH16,0.1085375,0,0,4341.5
FRESH POND RD,TH4,0.26026875,0,0,10410.75
MYRTLE-WILLOUGH,TU8,0.6686625,2,0,6746.5
HUNTS POINT AV,FR4,0.30658125,0,0,12263.25
PARKSIDE AV,WE12,0.35951875,1,0,4380.75
CHAUNCEY ST,SU12,0.0541625,0,0,2166.5
SENECA AVE,TH0,0.00471875,0,0,188.75
MT EDEN AV,SA4,0.312003,1,0,2480.12
CLARK ST,SA4,0.52145,2,0,858.0
215 ST,SA16,0.53015,2,0,1206.0
SUTPHIN-ARCHER,FR20,0.2045,0,0,8180.0
233 ST,SA4,0.05589375,0,0,2235.75
163 ST-AMSTERDM,WE12,0.09700625,0,0,3880.25
181 ST,WE4,0.5821,0,0,23284.0
WORLD TRADE CTR,WE4,0.4117,1,3,3468.0
BOROUGH HALL,FR0,0.5377,2,0,1508.0
AVENUE P,MO8,0.082225,0,0,3289.0
BROAD ST,WE4,0.6233625,1,14,934.5
NEW UTRECHT AV,FR20,0.0267125,0,0,1068.5
69 ST,MO0,0.01155625,0,0,462.25
CLINTON-WASH AV,TH0,0.26489375,1,0,595.75
BROOKLYN BRIDGE,FR20,0.40935,1,1,5374.0
ALLERTON AV,TH0,0.0191375,0,0,765.5
FOREST HILLS 71,FR20,0.18133125,0,0,7253.25
BEACH 25 ST,TU20,0.0113,0,0,452.0
69 ST,SU20,0.03074375,0,0,1229.75
231 ST,MO8,0.500175,1,0,10007.0
65 ST,SA0,0.00470625,0,0,188.25
21 ST,FR4,0.76584375,3,0,633.75
FAR ROCKAWAY,TH20,0.036325,0,0,1453.0
96 ST,SA20,0.65158125,0,0,26063.25
PELHAM BAY PARK,TU0,0.010325,0,0,413.0
CORTLANDT ST,WE8,0.6398625,1,10,5594.5
5 AVE,SU20,1.355575,5,1,3223.0
BOROUGH HALL,SA20,0.734425,2,0,9377.0
CONEY IS-STILLW,SA16,0.56519375,0,0,22607.75
LORIMER ST,WE20,0.35889375,1,0,4355.75
