CORTELYOU RD,CORTELYOU RD
CORTLANDT ST,CORTLANDT ST
CRESCENT ST,CRESCENT ST
CYPRESS AV,CYPRESS AV
CYPRESS HILLS,CYPRESS HILLS
DEKALB AV,DEKALB AV
DELANCEY ST,DELANCEY/ESSEX
DITMARS BLVD,ASTORIA DITMARS
DITMAS AV,DITMAS AV
DYCKMAN ST?DYCKMAN ST-200TH ST,DYCKMAN ST
EAST 105TH ST,EAST 105 ST
EAST 143RD ST-ST MARY'S ST,E 143/ST MARY'S
EAST 149TH ST,E 149 ST
EAST BROADWAY,EAST BROADWAY
EAST TREMONT AV-WEST FARMS SQ
EASTCHESTER-DYRE AV,EASTCHSTER/DYRE
EASTERN PARKWAY-BROOKLYN MUSEUM,EASTN PKWY-MUSM
ELDER AV,ELDER AV
ELDERTS LANE-75TH ST,75 ST-ELDERTS
ELMHURST AV,ELMHURST AV
ESSEX ST
EUCLID AV,EUCLID AV
FAR ROCKAWAY-MOTT AV,FAR ROCKAWAY
FISK AV-69TH ST,69 ST
FLATBUSH AV-BROOKLYN COLLEGE,FLATBUSH AV-B.C
FLUSHING AV,FLUSHING AV
FLUSHING-MAIN ST,FLUSHING-MAIN
FORDHAM RD,FORDHAM RD
FOREST AV,FOREST AVE
FOREST HILLS-71ST AV,FOREST HILLS 71
FOREST PARKWAY-85TH ST,85 ST-FOREST PK
FORT HAMILTON PARKWAY,FT HAMILTON PKY
FRANKLIN AV,FRANKLIN AV
FRANKLIN ST,FRANKLIN ST
FREEMAN ST,FREEMAN ST
FRESH POND RD,FRESH POND RD
FULTON ST,FULTON ST
GATES AV,GATES AV
GRAHAM AV,GRAHAM AV
GRAND ARMY PLAZA,GRAND ARMY PLAZ
GRAND AV-NEWTOWN,GRAND-NEWTOWN
GRAND CENTRAL-42ND ST?GRAND CENTRAL,GRD CNTRL-42 ST
GRAND ST,GRAND ST
GRANT AV,GRANT AV
GREENPOINT AV,GREENPOINT AV
GUN HILL RD,GUN HILL RD
HALSEY ST,HALSEY ST
HARLEM-148TH ST,HARLEM 148 ST
HEWES ST,HEWES ST
HIGH ST,HIGH ST
HOUSTON ST,HOUSTON ST
HOWARD BEACH,HOWARD BCH JFK
HOYT & SCHERMERHORN,HOYT-SCHER
HOYT ST,HOYT ST
