Pingg,-73.988711,40.738497,VBS
Answerology,-74.006164,40.735548,VBS
Innovid,-73.998829,40.722825,VBS
Mojiva,-73.998692,40.718596,VBS
AppsSavvy,-73.997064,40.725033,VBS
TuneCore,-73.986697,40.703952,VBS
bit.ly,-74.007199,40.740308,VBS
Hunch,-73.993234,40.741158,VBS
ShopWiki,-73.993398,40.740496,VBS
AngelSoft,-73.987762,40.74047,VBS
StyleSight,-74.000827,40.730763,VBS
Aupeo,-73.991972,40.728601,VBS
Cookstr,-74.001739,40.70728,VBS
Second Market,-74.013242,40.705841,VBS
200 Varick St,-74.004807,40.728299,VBS
NetShelter,-74.004807,40.728299,VBS
White Cat Media DBA SheFinds Media,-73.984825,40.782438,VBS
55 Broad St,-74.011044,40.705296,VBS
TransferTo,-74.011044,40.705296,VBS
AppNexus,-73.997064,40.725033,VBS
Buzzd,-73.991347,40.73391,VBS
modelinia,-73.990009,40.739843,VBS
WhistleBox,-73.960761,40.719705,VBS
Panjiva,-73.991609,40.741274,VBS
OwnEnergy,-73.990666,40.702804,VBS
oyster,-74.004793,40.741964,VBS
2Tor,-73.987762,40.74047,VBS
Derivix,-74.011017,40.70735,VBS
Zocdoc,-74.002071,40.716772,VBS
Snooth,-73.991972,40.728601,VBS
Empressr,-73.993118,40.740339,VBS
MDialog,-73.992702,40.745586,VBS
WebVet,-73.95067,40.771523,VBS
Producteev,-73.964209,40.767119,VBS
My Fly Screen,-73.950316,40.777258,VBS
Kidos,-73.956573,40.768072,VBS
InnerRewards,-73.990456,40.741602,VBS
Creopoint,-73.956473,40.768633,VBS
Ignighter,-73.990964,40.736861,VBS
Bonobos,-73.995465,40.73853,VBS
ProperCloth,-74.008738,40.72337,VBS
Healogica,-73.97539,40.779378,VBS
ChallengePost,-74.007205,40.74084,VBS
Schoology,-74.011864,40.704303,VBS
Big Think,-73.992243,40.738495,VBS
Kluster,-73.985285,40.723653,VBS
Business Insider,-73.990875,40.739058,VBS
New York Web Designs,-73.923811,40.742673,VBS
VBS.tv,-73.958191,40.720949,VBS
Visual Plant,-73.998678,40.738487,VBS
Voice123,-73.987762,40.74047,VBS
GoOvertime,-73.941795,40.722391,VBS
LetmeGo,-73.990817,40.742045,VBS
Fungo Media,-74.013696,40.707913,VBS
110 Greene St,-73.999636,40.724647,VBS
Yeah That Sucks,-73.999636,40.724647,VBS
Jobulous,-73.995194,40.735877,VBS
Arkadium,-73.98957,40.739838,VBS
Twibingo,-74.005999,40.707967,VBS
Glide Health,-73.992243,40.738495,VBS
Learnvest,-73.991911,40.740601,VBS
Solvate,-74.009632,40.721065,VBS
Croissant,-73.9910847,40.7426139,Cowork
